"","portal","processo","edital","cdo","orgao","id","link_repositorio_edital","tipo","orgao_sigla","descricao_do_objeto","entrega_de_proposta","abertura","situacao","data_abertura","data_entrega_proposta","base_final","final_url_edital","link_completo_para_editais"
"110","1","27039","0011/2022","4401","Secretaria de Estado da Agricultura e da Pesca - SAR","00112022_4401","https://sistemas4.sc.gov.br/sea/portaldecompras/docsl.asp?portal=1&processo=27039&cdo=4401&edital=0011/2022","Pregão Eletrônico             (Compras)","SAR","Aquisição de: 148 (cento e quarenta e oito) equipamentos agrícolas (Convênio nº 910994/2021/MAPA/SAR).","17/03/2022 14:00:00","04/04/2022 14:30:00","EM RECEBIMENTO DE PROPOSTA E-LIC","04/04/2022","17/03/2022",NA,"docsb.asp?orgao=SAR&anexo=27039-02-1.pdf","https://sistemas4.sc.gov.br/sea/portaldecompras/docsb.asp?orgao=SAR&anexo=27039-02-1.pdf"
"111","2","","0011/2022","4501","Secretaria de Estado da Educação - SED","00112022_4501","https://sistemas4.sc.gov.br/sea/portaldecompras/docsl.asp?portal=2&processo=&cdo=4501&edital=0011/2022","Convite(Serviços)","SED","CONTRATAÇÃO DE EMPRESA ESPECIALIZADA EM SERVIÇOS DE ENGENHARIA PARA REFORMA DE RAMPA E ESTRUTURA CISTERNA DA EEB SOLON ROSA, LOCALIZADA EM CURITIBANOS","09/03/2022 16:30:00","09/03/2022 17:00:00","AGUARDANDO ABERTURA DA HABILITAÇÃO","09/03/2022","09/03/2022",NA,"docsb.asp?orgao=SED&anexo=Edital_CV0011-2022.pdf","https://sistemas4.sc.gov.br/sea/portaldecompras/docsb.asp?orgao=SED&anexo=Edital_CV0011-2022.pdf"
"112","1","26665","0011/2022","4891","Secretaria de Estado da Saúde - SES","00112022_4891","https://sistemas4.sc.gov.br/sea/portaldecompras/docsl.asp?portal=1&processo=26665&cdo=4891&edital=0011/2022","Pregão Eletrônico             (Serviços)","SES","Contratação de serviços de manutenção preventiva e corretiva, com substituição de peças (inclusive as com desgaste temporal) em equipamentos para o Instituto de Anatomia Patológica (IAP).","01/02/2022 17:30:00","16/03/2022 08:30:00","EM SESSÃO PREGÃO","16/03/2022","01/02/2022",NA,"docsb.asp?orgao=SES&anexo=26665-02-1.doc","https://sistemas4.sc.gov.br/sea/portaldecompras/docsb.asp?orgao=SES&anexo=26665-02-1.doc"
"113","1","26639","0011/2022","5301","Secretaria de Estado da Infraestrutura e Mobilidade - SIE","00112022_5301","https://sistemas4.sc.gov.br/sea/portaldecompras/docsl.asp?portal=1&processo=26639&cdo=5301&edital=0011/2022","Pregão Eletrônico             (Serviços)","SIE","rdc - regime diferenciado de contratação - objeto: contratação  de  empresa para execução de serviços para restauração e melhoramento com   aumento   de   capacidade   da   rodovia   sc   283,   trecho concórdia    -    entr    para    arabutã;    sub    trecho:entr,    com contorno  norte  de  concódia  no  km  12+200  até  o  km  22+137 entr.p/ a...","20/01/2022 08:00:00","11/02/2022 17:00:00","EM SESSÃO PREGÃO","11/02/2022","20/01/2022",NA,"docsb.asp?orgao=SIE&anexo=26639-02-1.pdf","https://sistemas4.sc.gov.br/sea/portaldecompras/docsb.asp?orgao=SIE&anexo=26639-02-1.pdf"
"114","2","","0011/2022","4002","Tribunal de Contas do Estado de Santa Catarina - TCE","00112022_4002","https://sistemas4.sc.gov.br/sea/portaldecompras/docsl.asp?portal=2&processo=&cdo=4002&edital=0011/2022","Pregão Eletrônico(Compras)","TCE","Registro de preços para fornecimento de água mineral","30/03/2022 14:00:00","30/03/2022 14:00:00","AGUARDANDO ABERTURA DA SESSÃO","30/03/2022","30/03/2022",NA,"docsb.asp?orgao=TCE&anexo=EditalPE112022Agua.pdf","https://sistemas4.sc.gov.br/sea/portaldecompras/docsb.asp?orgao=TCE&anexo=EditalPE112022Agua.pdf"
"115","2","","0012/2022","9","Empresa de Pesquisa Agropecuária e Extensão Rural de Santa Catarina - EPAGRI","00122022_9","https://sistemas4.sc.gov.br/sea/portaldecompras/docsl.asp?portal=2&processo=&cdo=9&edital=0012/2022","Pregão Eletrônico(Serviços)","EPAGRI","exclusivo me/epp contratação de empresa de eventos para prestação de serviços de alimentação, sonorização, decoração e faixas, e empresa de transporte rodoviário coletivo de passageiros, sob regime de fretamento, para prestação de serviço de transporte de agricultores e técnicos, para a epagri departamento estadual de extensão rural e pesqueira  d...","01/04/2022 09:00:00","04/04/2022 14:00:00","AGUARDANDO ABERTURA DA SESSÃO","04/04/2022","01/04/2022",NA,"docsb.asp?orgao=EPAGRI&anexo=0012_2022PE.doc","https://sistemas4.sc.gov.br/sea/portaldecompras/docsb.asp?orgao=EPAGRI&anexo=0012_2022PE.doc"
"116","1","26463","0012/2022","1606","Polícia Militar do Estado de Santa Catarina - PM/SC","00122022_1606","https://sistemas4.sc.gov.br/sea/portaldecompras/docsl.asp?portal=1&processo=26463&cdo=1606&edital=0012/2022","Pregão Eletrônico             (Compras)","PMSC","Aquisição de insígnias e distintivos de metal (Registro de Preço).","31/12/2021 08:00:00","20/01/2022 14:35:37","PUBLICADO RESULTADO LICITAÇÃO / EXTRATO ATA RP","20/01/2022","31/12/2021",NA,"docsb.asp?orgao=PMSC&anexo=26463-02-1.pdf","https://sistemas4.sc.gov.br/sea/portaldecompras/docsb.asp?orgao=PMSC&anexo=26463-02-1.pdf"
"117","2","","0012/2022","4130","PSFS Porto de São Francisco do Sul S/A","00122022_4130","https://sistemas4.sc.gov.br/sea/portaldecompras/docsl.asp?portal=2&processo=&cdo=4130&edital=0012/2022","Pregão Eletrônico(Compras)","PSFS","AQUISIÇÃO DE  FITAS SUBLIMAÇÃO (RIBBON), CRACHÁ COM CHIP MIFARE 1K, CAPA TIPO GAVETA, CORDÃO COM LOGO DO PORTO, RIBBONS LAMINADORES, PARA PROPORCIONAR A CONFECÇÃO DE CRACHÁS COM A FINALIDADE DE IDENTIFICAR CORRETAMENTE OS SERVIDORES E USUÁRIOS DA SCPAR, CONFORME ESTABELECIDO NO PLANO DE SEGURANÇA","03/03/2022 08:00:00","03/03/2022 10:00:00","HOMOLOGADO","03/03/2022","03/03/2022",NA,"docsb.asp?orgao=PSFS&anexo=EDITAL00122022.pdf","https://sistemas4.sc.gov.br/sea/portaldecompras/docsb.asp?orgao=PSFS&anexo=EDITAL00122022.pdf"
"118","1","27056","0012/2022","4401","Secretaria de Estado da Agricultura e da Pesca - SAR","00122022_4401","https://sistemas4.sc.gov.br/sea/portaldecompras/docsl.asp?portal=1&processo=27056&cdo=4401&edital=0012/2022","Pregão Eletrônico             (Compras)","SAR","Aquisição de: 122 (cento e vinte e duas) cadeiras de escritório.","18/03/2022 14:00:00","05/04/2022 14:30:00","EM RECEBIMENTO DE PROPOSTA E-LIC","05/04/2022","18/03/2022",NA,"docsb.asp?orgao=SAR&anexo=27056-02-1.pdf","https://sistemas4.sc.gov.br/sea/portaldecompras/docsb.asp?orgao=SAR&anexo=27056-02-1.pdf"
"119","1","26811","0012/2022","1700","Secretaria de Estado da Administração - SEA","00122022_1700","https://sistemas4.sc.gov.br/sea/portaldecompras/docsl.asp?portal=1&processo=26811&cdo=1700&edital=0012/2022","Pregão Eletrônico             (Compras)","SEA-DGLC","Registro de Preços para futura e eventual aquisição de mobiliários em aço para atender às necessidades da Secretaria de Estado da Educação.","09/02/2022 14:00:00","21/02/2022 13:30:00","EM RECEBIMENTO DE PROPOSTA E-LIC","21/02/2022","09/02/2022",NA,"docsb.asp?orgao=SEA-DGLC&anexo=26811-02-1.pdf","https://sistemas4.sc.gov.br/sea/portaldecompras/docsb.asp?orgao=SEA-DGLC&anexo=26811-02-1.pdf"
"120","1","26614","0012/2022","5301","Secretaria de Estado da Infraestrutura e Mobilidade - SIE","00122022_5301","https://sistemas4.sc.gov.br/sea/portaldecompras/docsl.asp?portal=1&processo=26614&cdo=5301&edital=0012/2022","Pregão Eletrônico             (Serviços)","SIE","RDC - REGIME DIFERENCIADO DE CONTRATAÇÃO - CONTRATAÇÃO DE EMPRESA PARA PRESTAÇÃO DE SERVIÇOS ESPECIALIZADOS DE   ENGENHARIA   PARA  EXECUÇÃO  DE  OBRAS  NA  RODOVIA  ESTADUAL SC-  456, TRECHO: ABDON BATISTA - VARGEM., conforme especificações constantes dos Anexos I a XIX.","21/01/2022 08:00:00","14/02/2022 14:30:00","FRACASSADO","14/02/2022","21/01/2022",NA,"docsb.asp?orgao=SIE&anexo=26614-02-1.pdf","https://sistemas4.sc.gov.br/sea/portaldecompras/docsb.asp?orgao=SIE&anexo=26614-02-1.pdf"
"121","2","","0013/2022","9","Empresa de Pesquisa Agropecuária e Extensão Rural de Santa Catarina - EPAGRI","00132022_9","https://sistemas4.sc.gov.br/sea/portaldecompras/docsl.asp?portal=2&processo=&cdo=9&edital=0013/2022","Pregão Eletrônico(Serviços)","EPAGRI","EXCLUSIVO ME/EPP Contratação de empresa especializada em prestação de serviços para organização de viagens técnicas, para a Epagri Gerencias regionais de São Joaquim e Lages/SC, conforme quantitativos e especificações constantes nos ANEXOS I e II deste Edital. LICITACOES-E 92.53.82","29/03/2022 09:00:00","30/03/2022 14:00:00","AGUARDANDO ABERTURA DA SESSÃO","30/03/2022","29/03/2022",NA,"docsb.asp?orgao=EPAGRI&anexo=0013_2022PE.doc","https://sistemas4.sc.gov.br/sea/portaldecompras/docsb.asp?orgao=EPAGRI&anexo=0013_2022PE.doc"
"122","1","27070","0013/2022","1606","Polícia Militar do Estado de Santa Catarina - PM/SC","00132022_1606","https://sistemas4.sc.gov.br/sea/portaldecompras/docsl.asp?portal=1&processo=27070&cdo=1606&edital=0013/2022","Pregão Eletrônico             (Compras)","PMSC","CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA FORNECIMENTO DE GÊNEROS ALIMENTÍCIOS COLÉGIO FELICIANO NUNES PIRES BLUMENAU","23/03/2022 08:00:00","04/04/2022 13:35:00","EM RECEBIMENTO DE PROPOSTA E-LIC","04/04/2022","23/03/2022",NA,"docsb.asp?orgao=PMSC&anexo=27070-02-1.pdf","https://sistemas4.sc.gov.br/sea/portaldecompras/docsb.asp?orgao=PMSC&anexo=27070-02-1.pdf"
"123","2","","0013/2022","4130","PSFS Porto de São Francisco do Sul S/A","00132022_4130","https://sistemas4.sc.gov.br/sea/portaldecompras/docsl.asp?portal=2&processo=&cdo=4130&edital=0013/2022","Pregão Eletrônico(Serviços)","PSFS","CONTRATAÇÃO DE EMPRESA  ESPECIALIZADAS CONTRATAÇÃO DE EMPRESA ESPECIALIZADA EM CERTIFICAÇÃO SEGUNDO AS NORMAS DA ABNT NBR ISO 9001:2015 E NBR ISO 14001:2015, PARA REALIZAR A CERTIFICAÇÃO E MANUTENÇÃO DA CERTIFICAÇÃO DA SCPAR PORTO DE SÃO FRANCISCO DO SUL S.A.","24/02/2022 08:00:00","24/02/2022 09:00:00","AGUARDANDO HOMOLOGAÇÃO","24/02/2022","24/02/2022",NA,"docsb.asp?orgao=PSFS&anexo=EDITAL00132022.pdf","https://sistemas4.sc.gov.br/sea/portaldecompras/docsb.asp?orgao=PSFS&anexo=EDITAL00132022.pdf"
"124","1","27057","0013/2022","4401","Secretaria de Estado da Agricultura e da Pesca - SAR","00132022_4401","https://sistemas4.sc.gov.br/sea/portaldecompras/docsl.asp?portal=1&processo=27057&cdo=4401&edital=0013/2022","Pregão Eletrônico             (Serviços)","SAR","contratação de empresa prestadora de serviços na área de fiscalização e validação no sigef/incra, de imóveis georreferenciados nos municípios de biguaçu, siderópolis, schroeder, chapadão do lajeado, guaramirim, rio negrinho, painel ,bocaina do sul, palmeira, correia pinto, são joão batista, major gercino, otacílio costa, nova itaberaba, cunhatai, ...","19/03/2022 14:00:00","07/04/2022 14:30:00","EM RECEBIMENTO DE PROPOSTA E-LIC","07/04/2022","19/03/2022",NA,"docsb.asp?orgao=SAR&anexo=27057-02-1.pdf","https://sistemas4.sc.gov.br/sea/portaldecompras/docsb.asp?orgao=SAR&anexo=27057-02-1.pdf"
"125","1","26737","0013/2022","1700","Secretaria de Estado da Administração - SEA","00132022_1700","https://sistemas4.sc.gov.br/sea/portaldecompras/docsl.asp?portal=1&processo=26737&cdo=1700&edital=0013/2022","Pregão Eletrônico             (Compras)","SEA-DGLC","Registro de Preços para futura e eventual aquisição de livros técnicos para professores que trabalham em escolas que ofertam 1º e 2º ano do Ensino Fundamental e docentes por área/componente curricular do Currículo Base do Território Catarinense, para a Secretaria de Estado da Educação.","01/02/2022 14:00:00","11/02/2022 13:30:00","EM SESSÃO PREGÃO","11/02/2022","01/02/2022",NA,"docsb.asp?orgao=SEA-DGLC&anexo=26737-02-1.pdf","https://sistemas4.sc.gov.br/sea/portaldecompras/docsb.asp?orgao=SEA-DGLC&anexo=26737-02-1.pdf"
"126","1","26615","0013/2022","5301","Secretaria de Estado da Infraestrutura e Mobilidade - SIE","00132022_5301","https://sistemas4.sc.gov.br/sea/portaldecompras/docsl.asp?portal=1&processo=26615&cdo=5301&edital=0013/2022","Pregão Eletrônico             (Serviços)","SIE","rdc - regime diferenciado de contratação - seleção de empresa para elaboração de projeto de restauração com aumento de capacidade da rodovia sc-163; trechos: segmento 1: entr. com a br-163/br-282 em são miguel do oeste (km 58,315) até o entr. com sc-386/br-386 em iporã do oeste (km 91,177), com extensão de 32,862 km; segmento 2: entr. com sc-386/br...","21/01/2022 08:00:00","04/03/2022 17:00:00","EM SESSÃO PREGÃO","04/03/2022","21/01/2022",NA,"docsb.asp?orgao=SIE&anexo=26615-02-1.pdf","https://sistemas4.sc.gov.br/sea/portaldecompras/docsb.asp?orgao=SIE&anexo=26615-02-1.pdf"
"127","2","","0014/2022","9","Empresa de Pesquisa Agropecuária e Extensão Rural de Santa Catarina - EPAGRI","00142022_9","https://sistemas4.sc.gov.br/sea/portaldecompras/docsl.asp?portal=2&processo=&cdo=9&edital=0014/2022","Pregão Eletrônico(Compras)","EPAGRI","EXCLUSIVO ME/EPP Aquisição de Gêneros alimentícios, água e gás de cozinha, para a Epagri  Centro de Treinamento de Florianópolis/SC, conforme quantitativos e especificações constantes nos ANEXOS I e II deste Edital.ID licitacoes-e 92.66.15","25/03/2022 09:00:00","28/03/2022 09:00:00","AGUARDANDO ABERTURA DA SESSÃO","28/03/2022","25/03/2022",NA,"docsb.asp?orgao=EPAGRI&anexo=0014_2022PE.doc","https://sistemas4.sc.gov.br/sea/portaldecompras/docsb.asp?orgao=EPAGRI&anexo=0014_2022PE.doc"
"128","1","26927","0014/2022","4722","Instituto de Previdência do Estado de Santa Catarina - IPREV","00142022_4722","https://sistemas4.sc.gov.br/sea/portaldecompras/docsl.asp?portal=1&processo=26927&cdo=4722&edital=0014/2022","Pregão Eletrônico             (Serviços)","IPREV","Contratação de Solução de Call Center em plataforma omnichannel híbrida em CLOUD / ON PREMISE: solução de Call Center com gravação integrado, seguindo as especificações e condições presentes no edital e seus anexos.","03/03/2022 14:00:00","17/03/2022 13:45:00","EM SESSÃO PREGÃO","17/03/2022","03/03/2022",NA,"docsb.asp?orgao=IPREV&anexo=26927-02-1.pdf","https://sistemas4.sc.gov.br/sea/portaldecompras/docsb.asp?orgao=IPREV&anexo=26927-02-1.pdf"
"129","1","27040","0014/2022","1605","Polícia Civil - PC","00142022_1605","https://sistemas4.sc.gov.br/sea/portaldecompras/docsl.asp?portal=1&processo=27040&cdo=1605&edital=0014/2022","Pregão Eletrônico             (Compras)","PC","Aquisição de secadores automáticos de mãos para atender às necessidades da Academia da Polícia Civil de Santa Catarina, conforme especificações contidas no Anexo I do Edital.","18/03/2022 14:00:00","30/03/2022 14:00:00","EM RECEBIMENTO DE PROPOSTA E-LIC","30/03/2022","18/03/2022",NA,"docsb.asp?orgao=PC&anexo=27040-02-1.pdf","https://sistemas4.sc.gov.br/sea/portaldecompras/docsb.asp?orgao=PC&anexo=27040-02-1.pdf"
"130","2","","0014/2022","4130","PSFS Porto de São Francisco do Sul S/A","00142022_4130","https://sistemas4.sc.gov.br/sea/portaldecompras/docsl.asp?portal=2&processo=&cdo=4130&edital=0014/2022","Pregão Eletrônico(Compras)","PSFS","CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA  AQUISIÇÃO DE MATERIAIS DE CONSUMO (ABRAÇADEIRAS, LIXAS, ESTOPAS, FITA ISOLANTE) PARA O SETOR DE MANUTENÇÃO PARA ATENDER A DEMANDA DO TERMINAL GRANELEIRO DA SCPAR PSFS.","07/03/2022 08:00:00","07/03/2022 10:00:00","HOMOLOGADO","07/03/2022","07/03/2022",NA,"docsb.asp?orgao=PSFS&anexo=EDITAL00142022.pdf","https://sistemas4.sc.gov.br/sea/portaldecompras/docsb.asp?orgao=PSFS&anexo=EDITAL00142022.pdf"
"131","1","26742","0014/2022","1700","Secretaria de Estado da Administração - SEA","00142022_1700","https://sistemas4.sc.gov.br/sea/portaldecompras/docsl.asp?portal=1&processo=26742&cdo=1700&edital=0014/2022","Pregão Eletrônico             (Compras)","SEA-DGLC","Registro de Preços para futura e eventual aquisição de livros técnicos de nível médio para os cursos de Técnico em Meio Ambiente, Técnico em Comércio e Maker, para a Rede Estadual de Ensino, para a Secretaria de Estado da Educação.","01/02/2022 14:00:00","11/02/2022 13:30:00","EM SESSÃO PREGÃO","11/02/2022","01/02/2022",NA,"docsb.asp?orgao=SEA-DGLC&anexo=26742-02-1.pdf","https://sistemas4.sc.gov.br/sea/portaldecompras/docsb.asp?orgao=SEA-DGLC&anexo=26742-02-1.pdf"
"132","1","27028","0014/2022","5201","Secretaria de Estado da Fazenda - SEF","00142022_5201","https://sistemas4.sc.gov.br/sea/portaldecompras/docsl.asp?portal=1&processo=27028&cdo=5201&edital=0014/2022","Pregão Eletrônico             (Serviços)","SEF","Contratação de empresa para prestação de serviços de manutenção preventiva e corretiva em condicionadores de ar, com fornecimento de peças, componentes e acessórios, para atender as necessidades da Secretaria de Estado da Fazenda","15/03/2022 14:00:00","25/03/2022 14:00:00","EM RECEBIMENTO DE PROPOSTA E-LIC","25/03/2022","15/03/2022",NA,"docsb.asp?orgao=SEF&anexo=27028-02-1.pdf","https://sistemas4.sc.gov.br/sea/portaldecompras/docsb.asp?orgao=SEF&anexo=27028-02-1.pdf"
"133","1","26637","0014/2022","5301","Secretaria de Estado da Infraestrutura e Mobilidade - SIE","00142022_5301","https://sistemas4.sc.gov.br/sea/portaldecompras/docsl.asp?portal=1&processo=26637&cdo=5301&edital=0014/2022","Pregão Eletrônico             (Serviços)","SIE","RDC - REGIME DIFERENCIADO DE CONTRATAÇÃO - CONTRATAÇÃO DE EMPRESA PARA 	PRESTAÇÃO DE SERVIÇOS ESPECIALIZADOS DE ENGENHARIA PARA EXECUÇÃO DE OBRAS DE IMPLANTAÇÃO E PAVIMENTAÇÃO DA RODOVIA SC-465, TRECHO: MACIEIRA  ENTR. SC-464 P/ ARROIO TRINTA (SRE: KM 18,08), conforme especificações constantes dos Anexos I a XIX.","21/01/2022 08:00:00","16/02/2022 14:30:00","FRACASSADO","16/02/2022","21/01/2022",NA,"docsb.asp?orgao=SIE&anexo=26637-02-1.pdf","https://sistemas4.sc.gov.br/sea/portaldecompras/docsb.asp?orgao=SIE&anexo=26637-02-1.pdf"
"134","2","","0015/2022","4422","Companhia Integrada de Desenv. Agricola de Santa Catarina - CIDASC","00152022_4422","https://sistemas4.sc.gov.br/sea/portaldecompras/docsl.asp?portal=2&processo=&cdo=4422&edital=0015/2022","Pregão Eletrônico(Compras)","CIDASC","Aquisição de 30.000 unidades de swabs estéreis, com haste plástica em ponta de rayon quebrável.","24/03/2022 10:00:00","24/03/2022 15:00:00","AGUARDANDO ABERTURA DA SESSÃO","24/03/2022","24/03/2022",NA,"docsb.asp?orgao=CIDASC&anexo=Edital0015(1).pdf","https://sistemas4.sc.gov.br/sea/portaldecompras/docsb.asp?orgao=CIDASC&anexo=Edital0015(1).pdf"
"135","2","","0015/2022","9","Empresa de Pesquisa Agropecuária e Extensão Rural de Santa Catarina - EPAGRI","00152022_9","https://sistemas4.sc.gov.br/sea/portaldecompras/docsl.asp?portal=2&processo=&cdo=9&edital=0015/2022","Pregão Eletrônico(Compras)","EPAGRI","EXCLUSIVO ME/EPP Aquisição de Gêneros Alimentícios e Gás de cozinha, para a Epagri  Centro de Treinamento de Concórdia/SC, conforme quantitativos e especificações constantes nos ANEXOS I e II deste Edital.ID Licitacoes-e 92.67.28","25/03/2022 09:00:00","28/03/2022 14:00:00","AGUARDANDO ABERTURA DA SESSÃO","28/03/2022","25/03/2022",NA,"docsb.asp?orgao=EPAGRI&anexo=0015_2022PE.doc","https://sistemas4.sc.gov.br/sea/portaldecompras/docsb.asp?orgao=EPAGRI&anexo=0015_2022PE.doc"
"136","2","","0015/2022","1605","Polícia Civil - PC","00152022_1605","https://sistemas4.sc.gov.br/sea/portaldecompras/docsl.asp?portal=2&processo=&cdo=1605&edital=0015/2022","Convite(Serviços)","PC","Contratação de empresas de arquitetura e ou engenharia para elaboração dos Projetos Executivos de Arquitetura e de Engenharia destinados à regularização e reforma da Delegacia de Polícia do Município de Vargem Bonita/SC.","12/04/2022 13:30:00","12/04/2022 14:00:00","AGUARDANDO ABERTURA DA HABILITAÇÃO","12/04/2022","12/04/2022",NA,"docsb.asp?orgao=PC&anexo=EDITAL(32).pdf","https://sistemas4.sc.gov.br/sea/portaldecompras/docsb.asp?orgao=PC&anexo=EDITAL(32).pdf"
"137","2","","0015/2022","1606","Polícia Militar do Estado de Santa Catarina - PM/SC","00152022_1606","https://sistemas4.sc.gov.br/sea/portaldecompras/docsl.asp?portal=2&processo=&cdo=1606&edital=0015/2022","Convite(Serviços)","PMSC","Contratação de serviços para a CONSTRUÇÃO DO NOVO QUARTEL DA POLÍCIA MILITAR EM CELSO RAMOS.","08/02/2022 13:30:00","08/02/2022 14:00:00","AGUARDANDO ABERTURA DA HABILITAÇÃO","08/02/2022","08/02/2022",NA,"docsb.asp?orgao=PMSC&anexo=CV015.2022edital.pdf","https://sistemas4.sc.gov.br/sea/portaldecompras/docsb.asp?orgao=PMSC&anexo=CV015.2022edital.pdf"
"138","2","","0015/2022","4130","PSFS Porto de São Francisco do Sul S/A","00152022_4130","https://sistemas4.sc.gov.br/sea/portaldecompras/docsl.asp?portal=2&processo=&cdo=4130&edital=0015/2022","Procedimento de Licitação(Obras)","PSFS","contratação de empresa de engenharia para construção de centrais de resíduos na scpar porto sãofrancisco do sul e no terminal 
 graneleiro, seguindo o projeto básico e escopo dos serviços a serem efetuados , devidamente justificado nos autos do processo de licitação, devendo ser
executado de acordo com as condicionantes estabelecidas no termo de ...","28/04/2022 08:00:00","28/04/2022 09:00:00","AGUARDANDO ABERTURA DA HABILITAÇÃO","28/04/2022","28/04/2022",NA,"docsb.asp?orgao=PSFS&anexo=EDITAL00152022.pdf","https://sistemas4.sc.gov.br/sea/portaldecompras/docsb.asp?orgao=PSFS&anexo=EDITAL00152022.pdf"
"139","1","27044","0015/2022","801","Secretaria de Estado da Administração Prisional e Socioeducativa - SAP","00152022_801","https://sistemas4.sc.gov.br/sea/portaldecompras/docsl.asp?portal=1&processo=27044&cdo=801&edital=0015/2022","Pregão Eletrônico             (Compras)","SAP-PRC","Registro de Preços PE 015/2022 para futura e eventual Aquisição de Materiais Elétricos em Geral, para manutenção das unidades Prisionais pertencentes a Regional 05.","18/03/2022 13:00:00","06/04/2022 13:15:00","EM RECEBIMENTO DE PROPOSTA E-LIC","06/04/2022","18/03/2022",NA,"docsb.asp?orgao=SAP-PRC&anexo=27044-02-1.docx","https://sistemas4.sc.gov.br/sea/portaldecompras/docsb.asp?orgao=SAP-PRC&anexo=27044-02-1.docx"
"140","1","26745","0015/2022","1700","Secretaria de Estado da Administração - SEA","00152022_1700","https://sistemas4.sc.gov.br/sea/portaldecompras/docsl.asp?portal=1&processo=26745&cdo=1700&edital=0015/2022","Pregão Eletrônico             (Serviços)","SEA-DGLC","Registro de Preços para futura e eventual aquisição de Kit de salas de aula  e  sanitários  modulares,  que  consiste  no  fornecimento  e  instalação  do  kit modular - Kit de salas de aula e sanitários modulares, para atender as necessidades da Secretaria de Estado da Educação.","03/02/2022 14:00:00","15/02/2022 13:30:00","EM SESSÃO PREGÃO","15/02/2022","03/02/2022",NA,"docsb.asp?orgao=SEA-DGLC&anexo=26745-02-1.pdf","https://sistemas4.sc.gov.br/sea/portaldecompras/docsb.asp?orgao=SEA-DGLC&anexo=26745-02-1.pdf"
"141","1","26640","0015/2022","5301","Secretaria de Estado da Infraestrutura e Mobilidade - SIE","00152022_5301","https://sistemas4.sc.gov.br/sea/portaldecompras/docsl.asp?portal=1&processo=26640&cdo=5301&edital=0015/2022","Pregão Eletrônico             (Serviços)","SIE","rdc - regime diferenciado de contratação - contratação de empresa para prestação de serviços especializados  de  engenharia    para  obras  de  restauração  com aumento  de  capacidade  das  rodovias  sc-150  (entr.  sc  -  467  (p/ zórtea)  -  entr.  sc  -  390  (p/  piratuba)  e  sc-390  (piratuba  -  entr.  sc   150), conforme especificações co...","22/01/2022 08:00:00","16/02/2022 17:00:00","HOMOLOGADO","16/02/2022","22/01/2022",NA,"docsb.asp?orgao=SIE&anexo=26640-02-1.pdf","https://sistemas4.sc.gov.br/sea/portaldecompras/docsb.asp?orgao=SIE&anexo=26640-02-1.pdf"
"142","2","","0015/2022","4002","Tribunal de Contas do Estado de Santa Catarina - TCE","00152022_4002","https://sistemas4.sc.gov.br/sea/portaldecompras/docsl.asp?portal=2&processo=&cdo=4002&edital=0015/2022","Pregão Eletrônico(Compras)","TCE","Contratação de Créditos Microsoft Azure (Azure Prepayment) para um período de 36 meses, na modalidade EAS","06/04/2022 14:00:00","06/04/2022 14:00:00","AGUARDANDO ABERTURA DA SESSÃO","06/04/2022","06/04/2022",NA,"docsb.asp?orgao=TCE&anexo=EditalPE152022Azure.pdf","https://sistemas4.sc.gov.br/sea/portaldecompras/docsb.asp?orgao=TCE&anexo=EditalPE152022Azure.pdf"
"143","2","","0016/2022","1605","Polícia Civil - PC","00162022_1605","https://sistemas4.sc.gov.br/sea/portaldecompras/docsl.asp?portal=2&processo=&cdo=1605&edital=0016/2022","Convite(Serviços)","PC","Contratação   de   empresas   de   arquitetura/engenharia   para elaboração  dos  Projetos  Executivos  de  Arquitetura  e  de  Engenharia,  destinados  à regularização  e  reforma  do  imóvel  ocupado  pelaDelegaciade  Polícia  da  Comarca de GuaramirimDP,  sito  à  Rua  Irineu  Vilela  Veiga,  nº  93,  Centro,  Guaramirim/SC.","30/03/2022 13:30:00","30/03/2022 14:00:00","AGUARDANDO ABERTURA DA HABILITAÇÃO","30/03/2022","30/03/2022",NA,"docsb.asp?orgao=PC&anexo=EDITAL(33).pdf","https://sistemas4.sc.gov.br/sea/portaldecompras/docsb.asp?orgao=PC&anexo=EDITAL(33).pdf"
"144","2","","0016/2022","1606","Polícia Militar do Estado de Santa Catarina - PM/SC","00162022_1606","https://sistemas4.sc.gov.br/sea/portaldecompras/docsl.asp?portal=2&processo=&cdo=1606&edital=0016/2022","Convite(Serviços)","PMSC","Contratação de serviços para a CONSTRUÇÃO DO NOVO QUARTEL DA POLÍCIA MILITAR EM ZORTÉA.","14/02/2022 13:30:00","14/02/2022 14:00:00","AGUARDANDO ABERTURA DA HABILITAÇÃO","14/02/2022","14/02/2022",NA,"docsb.asp?orgao=PMSC&anexo=CV016.2022.EDITAL(3).pdf","https://sistemas4.sc.gov.br/sea/portaldecompras/docsb.asp?orgao=PMSC&anexo=CV016.2022.EDITAL(3).pdf"
